"a","ShowYourWork Init","","","000","ShowYourWork Init","1.1.3 for 2021-2022 @t1",
"e","package PACKAGE_NAME;public class LinkedList {
}
","","0","1659453899742","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e","","package PACKAGE_NAME;","0","1659453899764","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e","<","","23","1659453909569","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e",">","","24","1659453909574","LinkedList.java","1.1.3 for 2021-2022 @t1",
"k","<",,"24","1659453909576","LinkedList.java","1.1.3 for 2021-2022 @t1",
"k",">",,"25","1659453909580","LinkedList.java","1.1.3 for 2021-2022 @t1",
"a","Left",,,"1659453909761","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e","T","","24","1659453910105","LinkedList.java","1.1.3 for 2021-2022 @t1",
"k","T",,"25","1659453910108","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e"," ","","25","1659453910240","LinkedList.java","1.1.3 for 2021-2022 @t1",
"a","Right",,,"1659453910604","LinkedList.java","1.1.3 for 2021-2022 @t1",
"a","Left",,,"1659453911267","LinkedList.java","1.1.3 for 2021-2022 @t1",
"a","Right",,,"1659453911930","LinkedList.java","1.1.3 for 2021-2022 @t1",
"a","Left",,,"1659453912490","LinkedList.java","1.1.3 for 2021-2022 @t1",
"a","Left",,,"1659453912619","LinkedList.java","1.1.3 for 2021-2022 @t1",
"a","Left",,,"1659453912762","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e"," ","","23","1659453912962","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e",""," ","26","1659453912963","LinkedList.java","1.1.3 for 2021-2022 @t1",
"k"," ",,"24","1659453912964","LinkedList.java","1.1.3 for 2021-2022 @t1",
"a","Backspace",,,"1659453913757","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e",""," ","23","1659453913771","LinkedList.java","1.1.3 for 2021-2022 @t1",
"a","Right",,,"1659453914249","LinkedList.java","1.1.3 for 2021-2022 @t1",
"a","Down",,,"1659453914454","LinkedList.java","1.1.3 for 2021-2022 @t1",
"a","Down",,,"1659453914630","LinkedList.java","1.1.3 for 2021-2022 @t1",
"a","Up",,,"1659453914871","LinkedList.java","1.1.3 for 2021-2022 @t1",
"a","Left",,,"1659453915078","LinkedList.java","1.1.3 for 2021-2022 @t1",
"a","Enter",,,"1659453915305","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e","
","","29","1659453915331","LinkedList.java","1.1.3 for 2021-2022 @t1",
"a","Up",,,"1659453915810","LinkedList.java","1.1.3 for 2021-2022 @t1",
"a","Tab",,,"1659453916005","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e","    ","","29","1659453916006","LinkedList.java","1.1.3 for 2021-2022 @t1",
"a","Up",,,"1659453921761","LinkedList.java","1.1.3 for 2021-2022 @t1",
"a","Down",,,"1659453921976","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e","p","","33","1659453925854","LinkedList.java","1.1.3 for 2021-2022 @t1",
"k","p",,"34","1659453925854","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e"," ","","25","1659453925863","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e"," ","","35","1659453925863","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e",""," ","25","1659453925863","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e",""," ","34","1659453925967","LinkedList.java","1.1.3 for 2021-2022 @t1",
