"a","ShowYourWork Init","","","000","ShowYourWork Init","1.1.3 for 2021-2022 @t1",
"e","package PACKAGE_NAME;public class Student {
}
","","0","1658246612526","Student.java","1.1.3 for 2021-2022 @t1",
"e","","package PACKAGE_NAME;","0","1658246612533","Student.java","1.1.3 for 2021-2022 @t1",
"a","Enter",,,"1658246615148","Student.java","1.1.3 for 2021-2022 @t1",
"e","
","","23","1658246615150","Student.java","1.1.3 for 2021-2022 @t1",
"e","    ","","23","1658246615151","Student.java","1.1.3 for 2021-2022 @t1",
"e","p","","27","1658246615552","Student.java","1.1.3 for 2021-2022 @t1",
"k","p",,"28","1658246615552","Student.java","1.1.3 for 2021-2022 @t1",
"e","u","","28","1658246615555","Student.java","1.1.3 for 2021-2022 @t1",
"k","u",,"29","1658246615555","Student.java","1.1.3 for 2021-2022 @t1",
"e"," ","","29","1658246615561","Student.java","1.1.3 for 2021-2022 @t1",
"a","Backspace",,,"1658246615812","Student.java","1.1.3 for 2021-2022 @t1",
"e","","u ","28","1658246615813","Student.java","1.1.3 for 2021-2022 @t1",
"e"," ","","28","1658246615818","Student.java","1.1.3 for 2021-2022 @t1",
"e",""," ","28","1658246616148","Student.java","1.1.3 for 2021-2022 @t1",
"e","u","","28","1658246616149","Student.java","1.1.3 for 2021-2022 @t1",
"k","u",,"29","1658246616150","Student.java","1.1.3 for 2021-2022 @t1",
"e"," ","","29","1658246616155","Student.java","1.1.3 for 2021-2022 @t1",
"e",""," ","29","1658246616284","Student.java","1.1.3 for 2021-2022 @t1",
"e","b","","29","1658246616285","Student.java","1.1.3 for 2021-2022 @t1",
"k","b",,"30","1658246616286","Student.java","1.1.3 for 2021-2022 @t1",
"e"," ","","30","1658246616291","Student.java","1.1.3 for 2021-2022 @t1",
"a","Choose Lookup Item Replace",,,"1658246616442","Student.java","1.1.3 for 2021-2022 @t1",
"e",""," ","30","1658246616444","Student.java","1.1.3 for 2021-2022 @t1",
"e","lic","","30","1658246616445","Student.java","1.1.3 for 2021-2022 @t1",
"e"," ","","33","1658246616449","Student.java","1.1.3 for 2021-2022 @t1",
"e","S","","34","1658246617087","Student.java","1.1.3 for 2021-2022 @t1",
"k","S",,"35","1658246617087","Student.java","1.1.3 for 2021-2022 @t1",
"e"," ","","35","1658246617092","Student.java","1.1.3 for 2021-2022 @t1",
"e",""," ","35","1658246617174","Student.java","1.1.3 for 2021-2022 @t1",
"e","t","","35","1658246617175","Student.java","1.1.3 for 2021-2022 @t1",
"k","t",,"36","1658246617174","Student.java","1.1.3 for 2021-2022 @t1",
"e"," ","","36","1658246617178","Student.java","1.1.3 for 2021-2022 @t1",
"e",""," ","36","1658246617312","Student.java","1.1.3 for 2021-2022 @t1",
"e","u","","36","1658246617313","Student.java","1.1.3 for 2021-2022 @t1",
"k","u",,"37","1658246617314","Student.java","1.1.3 for 2021-2022 @t1",
"e"," ","","37","1658246617318","Student.java","1.1.3 for 2021-2022 @t1",
"a","Choose Lookup Item Replace",,,"1658246617708","Student.java","1.1.3 for 2021-2022 @t1",
"e",""," ","37","1658246617709","Student.java","1.1.3 for 2021-2022 @t1",
"e","dent","","37","1658246617710","Student.java","1.1.3 for 2021-2022 @t1",
"e","(","","41","1658246617956","Student.java","1.1.3 for 2021-2022 @t1",
"e",")","","42","1658246617957","Student.java","1.1.3 for 2021-2022 @t1",
"k","(",,"42","1658246617957","Student.java","1.1.3 for 2021-2022 @t1",
"k",")",,"43","1658246618012","Student.java","1.1.3 for 2021-2022 @t1",
"a","Left",,,"1658246618277","Student.java","1.1.3 for 2021-2022 @t1",
"e","n","","42","1658246618593","Student.java","1.1.3 for 2021-2022 @t1",
"k","n",,"43","1658246618593","Student.java","1.1.3 for 2021-2022 @t1",
"e"," ","","43","1658246618597","Student.java","1.1.3 for 2021-2022 @t1",
"e",""," ","43","1658246618694","Student.java","1.1.3 for 2021-2022 @t1",
"e","a","","43","1658246618695","Student.java","1.1.3 for 2021-2022 @t1",
"k","a",,"44","1658246618708","Student.java","1.1.3 for 2021-2022 @t1",
"a","Backspace",,,"1658246618883","Student.java","1.1.3 for 2021-2022 @t1",
"e","","a","43","1658246618884","Student.java","1.1.3 for 2021-2022 @t1",
"a","Backspace",,,"1658246619017","Student.java","1.1.3 for 2021-2022 @t1",
"e","","n","42","1658246619018","Student.java","1.1.3 for 2021-2022 @t1",
"e","S","","42","1658246619258","Student.java","1.1.3 for 2021-2022 @t1",
"k","S",,"43","1658246619258","Student.java","1.1.3 for 2021-2022 @t1",
"e"," ","","43","1658246619263","Student.java","1.1.3 for 2021-2022 @t1",
"e",""," ","43","1658246619328","Student.java","1.1.3 for 2021-2022 @t1",
